Sample_ID_for_Batchregistration	Plate_Position_	breed	origin
1_Chicken	1_A_1	Augsburger	
2_Chicken	1_B_1	Augsburger	
3_Chicken	1_C_1	Augsburger	
4_Chicken	1_D_1	Augsburger	
5_Chicken	1_E_1	Augsburger	
6_Chicken	1_F_1	Augsburger	
7_Chicken	1_G_1	Augsburger	
8_Chicken	1_H_1	Augsburger	
9_Chicken	1_A_2	Augsburger	
10_Chicken	1_B_2	Augsburger	
11_Chicken	1_C_2	Bergische_Schlotterkamm	
12_Chicken	1_D_2	Bergische_Schlotterkamm	
13_Chicken	1_E_2	Bergische_Schlotterkamm	
14_Chicken	1_F_2	Bergische_Schlotterkamm	
15_Chicken	1_G_2	Bergische_Schlotterkamm	
16_Chicken	1_H_2	Bergische_Schlotterkamm	
17_Chicken	1_A_3	Bergische_Schlotterkamm	
18_Chicken	1_B_3	Bergische_Schlotterkamm	
19_Chicken	1_C_3	Bergische_Schlotterkamm	
20_Chicken	1_D_3	Bergische_Schlotterkamm	
21_Chicken	1_E_3	Deutsche_Sperber	
22_Chicken	1_F_3	Deutsche_Sperber	
23_Chicken	1_G_3	Deutsche_Sperber	
24_Chicken	1_H_3	Deutsche_Sperber	
25_Chicken	1_A_4	Deutsche_Sperber	
26_Chicken	1_B_4	Deutsche_Sperber	
27_Chicken	1_C_4	Deutsche_Sperber	
28_Chicken	1_D_4	Deutsche_Sperber	
29_Chicken	1_E_4	Deutsche_Sperber	
30_Chicken	1_F_4	Deutsche_Sperber	
31_Chicken	1_G_4	Deutsches_Reichshuhn	
32_Chicken	1_H_4	Deutsches_Reichshuhn	
33_Chicken	1_A_5	Deutsches_Reichshuhn	
34_Chicken	1_B_5	Deutsches_Reichshuhn	
35_Chicken	1_C_5	Deutsches_Reichshuhn	
36_Chicken	1_D_5	Deutsches_Reichshuhn	
37_Chicken	1_E_5	Deutsches_Reichshuhn	
38_Chicken	1_F_5	Deutsches_Reichshuhn	
39_Chicken	1_G_5	Deutsches_Reichshuhn	
40_Chicken	1_H_5	Deutsches_Reichshuhn	
41_Chicken	1_A_6	Krüper	
42_Chicken	1_B_6	Krüper	
43_Chicken	1_C_6	Krüper	
44_Chicken	1_D_6	Krüper	
45_Chicken	1_E_6	Krüper	
46_Chicken	1_F_6	Krüper	
47_Chicken	1_G_6	Krüper	
48_Chicken	1_H_6	Krüper	
